product_name,product_author,product_date,product_price,product_reviews,product_labels_language
Essential Elements for Strings - Book 1 with EEi: Viola,by Robert Gillespie and Pamela Tellejohn Hayes,1-Jul-02,$7.87 ,770 customer reviews,English
The Secret Lives of Color,by Kassia St Clair,24-Oct-17,$13.59 ,92 customer reviews,English
Figure Drawing: Design and Invention,by Michael Hampton,31-Aug-09,$27.57 ,303 customer reviews,English
"Super Simple Hand Lettering: 20 Traceable Alphabets, Easy Projects, Practice Sheets & More! (Design Originals) Includes Technique Guides, Skill-Building Exercises, Art Prints, & Vellum Tracing Paper",by Kiley Bennett,12-Feb-18,$13.38 ,41 customer reviews,English
Q&A a Day: 5-Year Journal,by Potter Gift,23-Nov-10,$11.89 ,"1,775 customer reviews",English
Level 2B - Lesson Book: Piano Adventures,by Nancy Faber and Randall Faber,1-Jan-97,$7.99 ,78 customer reviews,English
"Standard of Excellence: Clarinet Comprehensive Band Method, Book 1",by Bruce Pearson,1993,,64 customer reviews,English
The Big Fat Activity Book for Pregnant People,by Jordan Reid and Erin Williams,25-Apr-17,$10.87 ,135 customer reviews,English
"Hanon: The Virtuoso Pianist in Sixty Exercises, Complete (Schirmer's Library of Musical Classics, Vol. 925)",by Theodore Baker and C.L. Hanon,1-Nov-86,$6.91 ,443 customer reviews,English
"Origami Paper 500 sheets Kaleidoscope Patterns 6"" (15 cm): Tuttle Origami Paper: High-Quality Origami Sheets Printed with 12 Different Designs: Instructions for 8 Projects Included",by Tuttle Publishing,19-Sep-17,$11.65 ,79 customer reviews,English
"The Animator's Survival Kit: A Manual of Methods, Principles and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators",by Richard Williams,25-Sep-12,$23.79 ,542 customer reviews,English
Ninety-Nine Glimpses of Princess Margaret,by Craig Brown,7-Aug-18,$18.30 ,69 customer reviews,English
How to Draw People (Dover How to Draw),by Barbara Soloff Levy,21-May-02,$4.99 ,646 customer reviews,English
The Hidden Life of Trees: The Illustrated Edition,by Peter Wohlleben and Jane Billinghurst,28-Aug-18,$22.48 ,4 customer reviews,English
The Gospel According to Luke,by Steve Lukather and Steve Vai,18-Sep-18,$23.40 ,38 customer reviews,English
The Chord Wheel: The Ultimate Tool for All Musicians,by Jim Fleser,1-Dec-00,$10.19 ,672 customer reviews,English
Star Trek Shipyards Star Trek Starships: 2151-2293 The Encyclopedia of Starfleet Ships,by Ben Robinson and Marcus Reily,25-Sep-18,$19.46 ,4 customer reviews,English
Fucking Adorable - Cute Critters with foul Mouths,by Heather Land,5-Sep-16,$4.99 ,430 customer reviews,English
Essential Elements for Band - Book 1 with EEi: Trombone,by Hal Leonard Corp.,1-Jun-99,$9.34 ,87 customer reviews,English
"The Finer Things: Timeless Furniture, Textiles, and Details",by Christiane Lemieux and Miles Redd,6-Sep-16,$38.81 ,39 customer reviews,English
Planner July 2018-December 2019: Two Year - Daily Weekly Monthly Calendar Planner | 18 Months July 2018 to December 2019 For Academic Agenda Schedule ... (Academic Planner 2018-2019) (Volume 10),by Staci Giron,30-Apr-18,$8.99 ,29 customer reviews,English
Read & Riot: A Pussy Riot Guide to Activism,by Nadya Tolokonnikova,9-Oct-18,$20.15 ,1 customer review,English
"NIV, Beautiful Word Coloring Bible, Hardcover: Hundreds of Verses to Color",by Zondervan,6-Sep-16,$27.19 ,280 customer reviews,English
"Palaces for the People: How Social Infrastructure Can Help Fight Inequality, Polarization, and the Decline of Civic Life",by Eric Klinenberg,11-Sep-18,$18.30 ,13 customer reviews,English
Adult Coloring Book: Stress Relieving Patterns (Adult Coloring Books Best Sellers),by Blue Star Coloring,28-Mar-15,$5.95 ,"1,783 customer reviews",English
Louis Vuitton: The Birth of Modern Luxury Updated Edition,by Louis Vuitton,1-Dec-12,,78 customer reviews,English
Fun Home: A Family Tragicomic,by Alison Bechdel,5-Jun-07,$14.95 ,758 customer reviews,English
Super Mario Encyclopedia: The Official Guide to the First 30 Years,by Nintendo,23-Oct-18,$25.46 ,,English
The Art of Metal Gear Solid I-IV,by Konami,7-Aug-18,$55.65 ,34 customer reviews,English
Accelerated Piano Adventures for the Older Beginner: Lesson Book 1,by Nancy Faber and Randall Faber,1-Jan-98,$8.95 ,93 customer reviews,English
The Complete America's Test Kitchen TV Show Cookbook 2001 - 2019: Every Recipe from the Hit TV Show with Product Ratings and a Look Behind the Scenes,by America's Test Kitchen,2-Oct-18,$28.46 ,3 customer reviews,English
The Art of Metal Gear Solid I-IV,by Konami,7-Aug-18,$55.65 ,34 customer reviews,English
Accelerated Piano Adventures for the Older Beginner: Lesson Book 1,by Nancy Faber and Randall Faber,1-Jan-98,$8.95 ,93 customer reviews,English
Draw Your Day: An Inspiring Guide to Keeping a Sketch Journal,by Samantha Dion Baker,28-Aug-18,$11.00 ,44 customer reviews,English
"""The Psalms in Color"" Inspirational Adult Coloring Book",by Christian Art Publishers,2-May-16,$9.99 ,318 customer reviews,English
